"","departamento","ciudad","localidad","barrio","eventos"
"1"," Cundinamarca"," Bogot<U+00E1>"," ",NA,34948
"2",NA," "," ",NA,31001
"3"," Antioquia"," Medell<U+00ED>n"," ",NA,5486
"4"," Valle del Cauca"," Cali"," ",NA,3731
"5",NA," Bogot<U+00E1>"," ",NA,2638
"6",NA," No"," ",NA,2185
"7",NA," Medell<U+00ED>n"," ",NA,1858
"8"," Santander"," Bucaramanga"," ",NA,1517
"9",NA," Cali"," ",NA,1516
"10"," Atl<U+00E1>ntico"," Barranquilla"," ",NA,1183
"11"," Cundinamarca"," Bogot<U+00E1>"," Chapinero",NA,1129
"12",NA," Medellin"," ",NA,1094
"13",NA," Bucaramanga"," ",NA,880
"14"," Antioquia"," Envigado"," ",NA,760
"15"," Cundinamarca"," Bogot<U+00E1>"," Usaqu<U+00E9>n","Cedritos",691
"16"," Risaralda"," Pereira"," ",NA,678
"17",NA," Bogota"," ",NA,676
"18"," Antioquia"," Medell<U+00ED>n"," Comuna ",NA,667
"19"," Antioquia"," Bello"," ",NA,659
"20"," Tolima"," Ibagu<U+00E9>"," ",NA,607
"21",NA," medellin"," ",NA,588
"22"," Caldas"," Manizales"," ",NA,576
"23"," Antioquia"," Itag<U+00FC><U+00ED>"," ",NA,540
"24"," Cundinamarca"," Bogot<U+00E1>"," Suba",NA,497
"25",NA," bogota"," ",NA,454
"26",NA," Suba"," ",NA,446
"27",NA," cali"," ",NA,445
"28"," Antioquia"," Medell<U+00ED>n"," Medell<U+00ED>n Rural",NA,421
"29",NA," Barranquilla"," ",NA,394
"30"," Santander"," Floridablanca"," ",NA,380
"31"," Antioquia"," Sabaneta"," ",NA,372
"32"," Cundinamarca"," Ch<U+00ED>a"," ",NA,370
"33"," Cundinamarca"," Bogot<U+00E1>"," Engativ<U+00E1>",NA,361
"34",NA," Pereira"," ",NA,321
"35"," Cundinamarca"," Bogot<U+00E1>"," Teusaquillo",NA,318
"36",NA," Manizales"," ",NA,315
"37",NA," Chapinero"," ",NA,310
"38"," Cundinamarca"," Bogot<U+00E1>"," Fontib<U+00F3>n",NA,289
"39"," Quind<U+00ED>o"," Armenia"," ",NA,285
"40"," Bol<U+00ED>var"," Cartagena"," ",NA,264
"41",NA," Bello"," ",NA,261
"42"," Antioquia"," Copacabana"," ",NA,239
"43",NA," Palmira"," ",NA,239
"44"," Cundinamarca"," Bogot<U+00E1>"," Teusaquillo","Ciudad Salitre Nororiental",237
"45"," Cundinamarca"," Cajic<U+00E1>"," ",NA,236
"46"," Cundinamarca"," Bogot<U+00E1>"," Chapinero","Chapinero Alto",235
"47"," Cundinamarca"," Bogot<U+00E1>"," Usaqu<U+00E9>n",NA,231
"48"," Valle del Cauca"," Palmira"," ",NA,228
"49"," Cundinamarca"," Bogot<U+00E1>"," Suba","La Colina Campestre",224
"50",NA," Itagui"," ",NA,222
"51"," Cundinamarca"," Mosquera"," ",NA,218
"52"," Cundinamarca"," Bogot<U+00E1>"," Suba","Pasadena",215
"53",NA," Envigado"," ",NA,214
"54",NA," chapinero"," ",NA,214
"55"," Antioquia"," Rionegro"," ",NA,206
"56",NA," Cedritos"," ",NA,202
"57"," Cundinamarca"," Bogot<U+00E1>"," Kennedy",NA,195
"58",NA," Ibague"," ",NA,189
"59"," Cundinamarca"," Bogot<U+00E1>"," Fontib<U+00F3>n","Hayuelos",188
"60"," Cundinamarca"," Bogot<U+00E1>"," Barrios Unidos",NA,186
"61"," Cundinamarca"," Bogot<U+00E1>"," Engativ<U+00E1>","Normandia",185
"62",NA," Kennedy"," ",NA,184
"63"," Cundinamarca"," Bogot<U+00E1>"," Teusaquillo","Galerias",180
"64"," Antioquia"," La Estrella"," ",NA,177
"65"," Risaralda"," Dosquebradas"," ",NA,176
"66"," Valle del Cauca"," Cali"," Cali Rural",NA,174
"67",NA," Floridablanca"," ",NA,173
"68"," Antioquia"," El Carmen De Viboral"," ",NA,167
"69"," Cundinamarca"," Bogot<U+00E1>"," Suba","Mazuren",167
"70"," Santander"," Bucaramanga"," Bucaramanga Rural",NA,165
"71"," Cundinamarca"," Bogot<U+00E1>"," Puente Aranda",NA,164
"72"," Meta"," Villavicencio"," ",NA,163
"73",NA," La"," ",NA,162
"74",NA," Itag<U+00FC><U+00ED>"," ",NA,161
"75"," Magdalena"," Santa Marta"," ",NA,156
"76",NA," Teusaquillo"," ",NA,156
"77",NA," bucaramanga"," ",NA,153
"78",NA," Castilla"," ",NA,151
"79",NA," Sabaneta"," ",NA,150
"80",NA," Chia"," ",NA,147
"81",NA," Ibagu<U+00E9>"," ",NA,147
"82"," Cundinamarca"," Bogot<U+00E1>"," Fontib<U+00F3>n","Modelia",145
"83",NA," San"," ",NA,144
"84"," Santander"," Piedecuesta"," ",NA,141
"85",NA," envigado"," ",NA,137
"86"," Cundinamarca"," Girardot"," Comuna ","Bocas Del Bogot<U+00E1>",135
"87",NA," Modelia"," ",NA,134
"88",NA," MEDELLIN"," ",NA,132
"89",NA," ibague"," ",NA,131
"90"," Cundinamarca"," Soacha"," ",NA,129
"91"," Cundinamarca"," Funza"," ",NA,128
"92",NA," Fontibon"," ",NA,128
"93",NA," suba"," ",NA,128
"94",NA," Bosa"," ",NA,127
"95"," Cundinamarca"," Bogot<U+00E1>"," Teusaquillo","Quinta Paredes",126
"96",NA," Santa"," ",NA,126
"97"," Cundinamarca"," Bogot<U+00E1>"," Suba","Pontevedra",124
"98"," Cundinamarca"," Bogot<U+00E1>"," Teusaquillo","La Soledad",122
"99",NA," Antioquia"," ",NA,122
"100",NA," Mosquera"," ",NA,122
"101"," Cundinamarca"," Bogot<U+00E1>"," Engativ<U+00E1>","Villas De Granada",121
"102",NA," la"," ",NA,121
"103",NA," Soacha"," ",NA,120
"104"," Huila"," Neiva"," ",NA,118
"105"," Norte de Santander"," C<U+00FA>cuta"," ",NA,118
"106"," Cundinamarca"," Bogot<U+00E1>"," Usaqu<U+00E9>n","Bella Suiza",113
"107"," Santander"," Gir<U+00F3>n"," ",NA,112
"108"," Antioquia"," Envigado"," Envigado",NA,109
"109",NA," pereira"," ",NA,107
"110"," Cundinamarca"," Bogot<U+00E1>"," Barrios Unidos","Polo Club",106
"111"," Cundinamarca"," Bogot<U+00E1>"," Barrios Unidos","Rionegro",106
