"","departamento","ciudad","localidad","barrio","eventos"
"1","Cundinamarca","Bogot","Usaqu","Cedritos",691
"2","Cundinamarca","Bogot","Teusaquillo","Ciudad",318
"3","Cundinamarca","Bogot","Chapinero","Chapinero",308
"4","Cundinamarca","Bogot","Suba","La",259
"5","Cundinamarca","Bogot","Usaqu","Santa",247
"6","Cundinamarca","Bogot","Suba","Pasadena",215
"7","Cundinamarca","Bogot","Engativ","Normandia",206
"8","Cundinamarca","Bogot","Fontib","Modelia",201
"9","Cundinamarca","Bogot","Chapinero","Chico",191
"10","Cundinamarca","Bogot","Fontib","Hayuelos",188
"11","Cundinamarca","Bogot","Teusaquillo","Galerias",180
"12","Cundinamarca","Bogot","Suba","Mazuren",167
"13","Cundinamarca","Bogot","Teusaquillo","La",158
"14","Cundinamarca","Bogot","Engativ","La",150
"15","Cundinamarca","Bogot","Suba","Prado",141
"16","Cundinamarca","Bogot","Chapinero","El",140
"17","Cundinamarca","Bogot","Engativ","Villas",138
"18","Cundinamarca","Bogot","Usaqu","El",135
"19","Cundinamarca","Girardot","Comuna","Bocas",135
"20","Cundinamarca","Bogot","Teusaquillo","Quinta",128
"21","Cundinamarca","Bogot","Suba","Pontevedra",124
"22","Cundinamarca","Bogot","Engativ","Alamos",117
"23","Cundinamarca","Bogot","Kennedy","El",113
"24","Cundinamarca","Bogot","Usaqu","Bella",113
"25","Cundinamarca","Bogot","Engativ","El",108
"26","Cundinamarca","Bogot","Barrios","Polo",106
"27","Cundinamarca","Bogot","Barrios","Rionegro",106
"28","Cundinamarca","Bogot","Barrios","San",106
"29","Cundinamarca","Bogot","Suba","Puente",106
"30","Cundinamarca","Bogot","Suba","San",106
"31","Cundinamarca","Bogot","Kennedy","Castilla",105
"32","Cundinamarca","Bogot","Teusaquillo","Nicolas",105
"33","Antioquia","Medell","Comuna","La",104
"34","Antioquia","Medell","Medell","San",101
"35","Cundinamarca","Bogot","Barrios","La",97
"36","Cundinamarca","Bogot","Usaqu","San",94
"37","Cundinamarca","Bogot","Suba","Suba",92
"38","Cundinamarca","Bogot","Engativ","Bochica",89
"39","Cundinamarca","Bogot","Fontib","Bosque",88
"40","Cundinamarca","Bogot","Santa","La",86
"41","Cundinamarca","Bogot","Ciudad","Madelena",84
"42","Cundinamarca","Bogot","Fontib","La",83
"43","Cundinamarca","Bogot","Usaqu","La",82
"44","Cundinamarca","Bogot","Engativ","Minuto",81
"45","Cundinamarca","Bogot","Kennedy","Ciudad",81
"46","Cundinamarca","Bogot","Chapinero","Los",78
"47","Cundinamarca","Bogot","Barrios","Jose",77
"48","Cundinamarca","Bogot","Suba","Batan",75
"49","Cundinamarca","Bogot","Engativ","Ciudadela",74
"50","Cundinamarca","Bogot","Engativ","Gran",73
"51","Cundinamarca","Bogot","Engativ","Santa",73
"52","Cundinamarca","Bogot","Usaqu","Chico",73
"53","Cundinamarca","Bogot","Puente","Ciudad",70
"54","Cundinamarca","Bogot","Usaqu","Belmira",70
"55","Antioquia","Medell","Comuna","El",66
"56","Cundinamarca","Bogot","Antonio","Ciudad",66
"57","Cundinamarca","Bogot","Engativ","Bosque",66
"58","Cundinamarca","Bogot","Barrios","Metropolis",63
"59","Cundinamarca","Bogot","Martires","Santa",63
"60","Cundinamarca","Bogot","Suba","Mirandela",63
"61","Cundinamarca","Bogot","Engativ","Bonanza",61
